date,close,open,high,low,volume,gas,oil,coal,power,stock,trends,pos,neg
2021/1/4,2.843226087,0.787644181,3.665796207,1.734939271,212.0263536,5.266646463,-1.380136592,0.43384016,-3.066869856,0.282008083,20,0,0
2021/1/5,-2.207726899,1.646004542,-1.816101467,-0.544630696,2.371652662,-9.578127477,4.796028473,-6.559728249,-7.097671796,-0.678160271,26,0.135,0.046
2021/1/6,2.030526616,0.059347183,0.147688699,0.181873345,-109.0830148,-2.000627632,1.297515886,-1.006589993,1.168425863,2.215147353,20,0.305,0.192
2021/1/7,3.314256828,1.003550335,3.252319171,3.07165941,100.0973819,9.247329847,0.147221226,3.592285377,5.740317103,0.249273083,22,0.498,0.281
2021/1/8,0.484953168,3.350010057,0.995033085,1.457751762,31.29998804,4.395756933,2.917666416,2.812916772,4.709576789,0.193450385,18,0.543,0.109
2021/1/11,-1.087278236,0.226950452,0.14134278,-0.260831911,-37.46934494,8.841095734,-0.591134726,0,2.053460244,-0.387275726,14,0,0
2021/1/12,0.344629864,-1.974595562,0.535287938,-0.058055154,17.47169574,15.51844052,1.639380978,2.877896455,4.577260442,-0.221975674,30,0.237,0.122
2021/1/13,-2.908872926,0.375018469,-2.101156232,-3.276078724,41.81075015,-17.25285187,-0.923302014,-0.497690327,-7.064639284,0.166527932,28,0.071,0.051
2021/1/14,-0.354820006,-2.803103236,-2.557535503,-1.025340708,-20.57084895,-3.133293494,0.640115984,-0.357015731,-2.198293322,0.635800345,38,0.186,0
2021/1/15,-5.479154883,-0.415430865,-1.005925642,-3.391200422,7.718963869,-6.206072774,-2.367398941,-1.877311451,-4.353450502,-1.219865418,17,0.536,0.374
2021/1/18,-0.376175992,-5.500928446,-3.387079144,-1.040198504,-36.89954283,-7.866763555,-0.637234746,-1.987551625,-1.756485439,0.167224119,23,0,0
2021/1/19,4.483403601,0.875826681,2.4910158,1.57186512,-5.95920972,5.168512428,2.078701146,0.37105794,-0.592418794,-0.111451669,21,0.316,0.146
2021/1/20,-0.542006747,4.20793787,1.518564242,2.950429131,-48.77032063,-0.572868505,0.321486257,0,1.142194379,0.6945437,25,0.576,0
2021/1/21,3.55909451,-1.807822661,1.670368507,-0.577070698,17.03453657,-1.526211538,0.03565698,0.074046653,1.66994172,0.138331742,18,0.045,0.058
2021/1/22,0.378072284,4.110167569,0.116177765,2.823010288,51.56333253,6.136263307,-1.237572965,-0.074046653,1.205871632,-0.805000877,21,0.573,0.255
2021/1/25,-3.12525435,1.448461013,1.125715452,-1.251506204,21.30205437,-6.171623986,0.844645151,-0.074101522,0.22805027,-1.346821705,27,0,0.175
2021/1/26,0.507842764,-4.831572971,-3.208207487,-0.903620606,-30.33073904,-4.429101671,0.053672065,0.296077196,0.075901332,1.374688502,32,0,0.53
2021/1/27,-0.149097985,0.841604006,-0.207684394,-1.7397051,-73.33132223,-0.018485997,-0.179019024,0.07388253,-0.208867445,-1.600932942,24,0.184,0.236
2021/1/28,1.950416438,1.190136035,1.444813575,2.041820134,55.25652299,7.392307801,-0.502964955,0.147601503,0.17092398,0.451978171,23,0.378,0.103
2021/1/29,-2.940078136,0.56039079,-0.234466696,0.030161364,26.3814591,-9.14542991,0.628311914,0,-1.71770449,-1.992664852,22,0.546,0.295
2021/2/1,-0.301841461,-2.411189888,-1.478005031,-0.939258534,-80.01193001,-9.692955237,0.83757061,-3.2986499,-5.33757306,1.342302033,22,0,0
2021/2/2,6.183308118,0.300842586,5.051872409,1.330530666,51.72565141,0.825768524,1.950681307,-0.305343749,0.061068704,1.576165475,31,0.327,0.48
2021/2/3,6.757100291,5.436756667,7.418886194,5.208901257,91.24371626,-2.941695375,1.725370613,-2.555307442,-1.786311742,0.44580737,43,0.42,0.083
2021/2/4,-0.42587235,7.162572302,1.098050248,5.140734548,-62.95743765,0.864346058,0.647913605,1.941808586,1.867678712,0.995858853,33,0.679,1.081
2021/2/5,2.476417383,-0.424629088,1.137551046,1.371911228,-24.5122458,1.106367616,0.846171913,2.206251526,4.706517367,0.384615859,25,0.618,0.577
2021/2/8,1.061223885,4.650792659,2.613367045,3.336707812,66.49763036,9.762881379,2.035099427,2.672764891,7.670954563,0.574164257,41,0,0.14
2021/2/9,-0.905217613,-2.571496797,-2.639077291,-2.353049741,-2.409755158,-6.575686171,0.871357753,0.511510067,-0.26985714,-0.382409644,20,0.289,0.036
2021/2/10,2.742003946,0.052083335,2.664117982,0.026451528,45.46423441,-3.728412183,0.620106426,-0.878482956,-1.269052564,-0.356408876,30,0.599,0.044
2021/2/11,-1.425686062,2.798282955,0.922124914,2.145555878,137.0693421,-7.540933395,-0.538293446,-0.960480232,-1.804172649,0.575107706,21,0.362,0.072
2021/2/12,3.229342172,-2.278936163,0.470239698,-3.235847226,-51.23991882,0.940867156,2.087961261,-0.521028347,-1.196052382,0.734597236,23,0.574,0.147
2021/2/15,-1.173693084,3.985804911,0.933897178,6.043586541,-70.63574123,-7.570430607,1.383940008,-2.570058311,-5.895160021,1.158886437,21,0.106,0
2021/2/16,-1.722870079,-0.824695415,-0.220399257,-1.598410284,42.47808974,2.16494717,0.078957762,0.458365967,-2.044896236,-0.32206147,22,0.111,0.394
2021/2/17,-1.883197663,-1.517096101,-2.809383024,-1.936793918,-36.54086239,-1.613320876,1.550661504,-0.381825588,-0.571546769,-0.620198833,21,0,0.275
2021/2/18,0.545385068,-0.947146464,-1.98631435,-0.444270952,-55.0882108,5.196276649,-0.639278703,0.305577014,1.220767958,-0.596854729,19,0.428,0.393
2021/2/19,-2.385121582,-1.320407533,0.179879272,-1.318236859,52.55000347,-4.505057117,-1.60836012,0.608366895,-0.384966538,1.055633027,19,0.273,0.862
2021/2/22,1.474486956,-1.682037028,-1.396092996,-2.363160453,-132.8850355,-5.041856768,3.636764417,0,-1.658005436,-0.377664328,28,0,0
2021/2/23,1.838715534,2.046241385,1.626891919,2.522269477,79.89930153,1.56156352,0.199065987,-0.075843765,0.082525278,-0.542006747,30,0.276,0.236
2021/2/24,1.224192794,0.621280797,1.525194792,2.227263561,-187.8373942,1.27078934,2.522601855,-0.303951602,0.760147471,0.596046197,24,0.58,0.165
2021/2/25,-2.255927507,2.748964139,0.478168773,0.103600113,114.5132304,-2.18494024,-0.23894874,0.152091284,-0.389624198,-0.378890846,29,0.25,0.056
2021/2/26,-2.547072182,-4.624507525,-3.682338818,-2.835579847,139.3089404,-1.248767476,-1.127746709,0.530505223,0.16423736,-1.667844539,20,0.713,0.624
2021/3/1,-0.399734043,0.341252464,0.104139556,-0.320085629,-50.63211116,2.800331664,-3.75949373,-1.14026321,-14.2154546,2.01971931,26,0,0
2021/3/2,3.257445875,-2.413590175,0.777608895,-0.723960797,22.08938316,-1.007008387,-1.566611674,1.14026321,0.377626127,0.108020534,25,0.325,0.215
2021/3/3,-2.274310548,3.870431758,0.051626227,0.88413168,-20.23404237,-4.338637576,2.161478801,-0.682596507,-0.875434433,0.134861787,0,0.563,0.252
2021/3/4,1.80798846,-2.008675857,-0.051626227,-1.234583582,-25.86945356,2.645791574,4.082823767,-0.763945656,-0.023767083,-0.188857469,23,0.229,0.035
2021/3/5,2.183212436,1.698277263,1.841955377,3.005945165,-21.13090937,3.503071559,3.850585915,0.076657727,2.070175083,-1.004215251,27,0.352,0.466
2021/3/8,0.279081749,2.960910532,0.78273345,1.327625904,61.04047535,-2.082132781,-1.627942929,0.382409644,-2.308157108,2.664671183,25,0.083,0
2021/3/9,3.754325314,-0.479012639,3.314673971,1.870171068,-66.47988256,5.724091869,-1.06070529,0.760459939,2.424503835,0.661815784,28,0.243,0.182
2021/3/10,2.148543722,3.452472533,2.451456576,3.565128903,154.9279021,4.814434914,0.561218428,-0.30349037,3.338979284,0.736070621,24,0.315,0.171
2021/3/11,0.950803455,2.531170445,2.114243657,1.265531614,21.19998966,3.695621166,2.515947439,0,2.136262814,0.67867658,25,0.894,0.041
2021/3/12,2.153137239,0.356421905,0.463822724,1.201937547,-113.2256265,1.955844658,-0.590567075,0.379219264,1.029469173,-0.3126631,31,0.769,0.188
2021/3/15,-1.070773732,0.661940951,0.989993121,1.35281522,101.0998683,-4.764345347,-0.492397809,0.453172981,2.134391686,-0.078318761,24,0.133,0
2021/3/16,-1.818446613,0.141276218,-1.639948983,-1.185690912,37.94262082,-2.776090519,-0.713924501,-0.075386359,-1.007619202,0.54694758,30,0.417,0.138
2021/3/17,3.235921258,-0.40080214,1.065564866,0.428470068,-81.48538144,2.510779728,-0.571890993,1.867816721,3.180929764,0.051934564,29,0.342,0.587
2021/3/18,-1.394074622,2.357994158,1.531983775,1.133691878,50.4099141,-1.471926664,-7.193838172,0.810914875,0.041736228,0.492037766,30,0.64,0
2021/3/19,-1.011178516,-2.192763387,-3.2986499,-2.32844922,-118.4295169,-3.219088592,1.956090849,0.512633858,-1.386576837,-0.362319237,26,0.697,0.614
